,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP"
Ukraine,Alcohol Stores,GOOD BEER,15864,13.7%,4%,-0.5,622,1.6%,34%,4.5,37%,9.3,21%,0.1,13956,0.8%,4%,-0.1,612,-0.6%,29%,-5.5,27%,1.7,21%,-4.6,13851,,4%,,616,,35%,,26%,,26%,
Ukraine,Alcohol Stores,KEGOVA,10449,-3.0%,4%,0.1,405,-1.2%,34%,-2.3,34%,12.7,22%,-6.1,10769,-15.9%,4%,-0.2,410,-19.8%,36%,1.6,21%,-9.2,28%,4.4,12798,,4%,,511,,34%,,30%,,24%,
Ukraine,Alcohol Stores,UMANPYVO BRANDSTORE,15944,6.6%,4%,1.,653,40.1%,40%,2.7,32%,-13.2,27%,6.8,14950,69.8%,3%,-2.8,466,-10.9%,38%,-1.3,45%,13.1,21%,-5.8,8807,,6%,,523,,39%,,32%,,26%,
Ukraine,Alcohol Stores,PRAVDA CRAFT MISSION,8802,34.9%,7%,-0.1,590,32.0%,28%,4.1,30%,12.,20%,-0.1,6524,-18.3%,7%,0.7,447,-8.4%,24%,3.5,18%,-5.2,20%,3.9,7985,,6%,,488,,21%,,24%,,16%,
Ukraine,Flower Shops,FLOWER SHOP,29359,20.1%,3%,0.6,852,50.5%,20%,8.2,70%,30.4,6%,-1.2,24440,7.5%,2%,-0.3,566,-3.1%,12%,2.9,39%,-12.7,7%,3.,22733,,3%,,584,,9%,,52%,,4%,
Ukraine,Grocery Stores,RODYNNA KOVBASKA,47637,62.1%,5%,1.7,2367,148.1%,26%,8.4,65%,6.1,9%,1.9,29381,15.6%,3%,-0.6,954,-2.8%,18%,-4.3,58%,-6.7,7%,-0.3,25425,,4%,,981,,22%,,65%,,8%,
Ukraine,Alcohol Stores,NALYVKY ZI LVOVA,5384,72.5%,9%,-0.3,461,67.0%,27%,6.1,42%,0.2,16%,3.5,3121,49.4%,9%,-3.1,276,10.4%,21%,-7.4,41%,30.1,12%,-12.9,2089,,12%,,250,,28%,,11%,,25%,
Ukraine,Flower Shops,NL FLOWER SHOP,32731,129.4%,2%,0.1,782,135.5%,14%,0.5,67%,22.8,5%,-2.9,14266,16.2%,2%,-0.4,332,-1.2%,14%,-3.7,44%,-2.1,8%,-1.7,12282,,3%,,336,,17%,,47%,,9%,
Ukraine,Alcohol Stores,SVIJIY ROZLUV,12109,-18.2%,3%,0.3,306,-7.6%,37%,-5.6,20%,-5.2,30%,-2.3,14805,51.9%,2%,-0.6,331,17.8%,43%,10.5,25%,5.6,32%,6.,9745,,3%,,281,,32%,,20%,,26%,
Ukraine,Alcohol Stores,PYANA VYSHNYA,21477,14.2%,3%,0.6,666,39.9%,22%,4.7,49%,13.3,11%,0.1,18806,4.3%,3%,-0.6,476,-15.5%,17%,-0.9,35%,-9.7,11%,1.2,18030,,3%,,563,,18%,,45%,,10%,
Ukraine,Alcohol Stores,MAHAZYN PYVNYY UKRAIINSKYJ KRAFT,15327,36.6%,4%,0.5,610,55.2%,23%,-5.,27%,13.5,17%,-7.5,11224,68.3%,4%,-1.6,393,15.2%,28%,-4.9,14%,-0.6,24%,-4.,6668,,5%,,341,,33%,,14%,,28%,
Ukraine,Alcohol Stores,UMANPIVO,11715,63.0%,4%,-0.5,478,45.3%,33%,-7.9,23%,-1.9,26%,-5.3,7189,100.1%,5%,-1.9,329,41.8%,41%,11.6,25%,-1.1,31%,9.,3592,,6%,,232,,30%,,26%,,22%,
Ukraine,Convenience Stores,REMESLO BREWERY,14626,41.1%,4%,-0.3,585,32.4%,17%,2.1,28%,4.4,12%,0.9,10367,15.5%,4%,-0.3,442,9.1%,14%,0.2,23%,9.6,11%,-1.3,8972,,5%,,405,,14%,,14%,,12%,
Ukraine,Alcohol Stores,LUCKY BEER,8729,-21.7%,2%,0.,199,-21.0%,34%,-10.7,16%,2.9,29%,-10.2,11154,59.0%,2%,-0.7,252,22.9%,45%,-2.,13%,-11.7,39%,3.8,7017,,3%,,205,,47%,,25%,,35%,
Ukraine,Alcohol Stores,SEIM,13389,79.3%,5%,-0.8,657,53.5%,29%,-3.7,35%,18.9,19%,-8.5,7466,64.8%,6%,-0.8,428,44.1%,32%,-0.9,17%,-2.6,27%,0.2,4529,,7%,,297,,33%,,19%,,27%,
Ukraine,Alcohol Stores,LITR BEER,6527,-19.0%,4%,-0.7,242,-31.8%,31%,1.3,23%,-17.4,24%,6.1,8055,72.7%,4%,0.3,355,85.9%,29%,-8.9,40%,8.9,17%,-8.7,4663,,4%,,191,,38%,,32%,,26%,
Ukraine,Alcohol Stores,PYVOTEKA ODESA,8744,25.6%,2%,-0.6,203,0.0%,50%,1.5,20%,4.5,40%,-1.,6960,56.5%,3%,-2.3,203,-12.9%,48%,-4.5,15%,-9.1,41%,1.,4448,,5%,,233,,53%,,24%,,40%,
Ukraine,Specialty Stores,VAPE STORY,7128,33.2%,6%,-0.5,443,22.7%,24%,-1.5,42%,10.,14%,-3.4,5350,9.8%,7%,-1.8,361,-13.0%,25%,-0.8,32%,-6.1,17%,1.,4874,,9%,,415,,26%,,38%,,16%,
Ukraine,Alcohol Stores,BEER SOTA,4806,15.5%,5%,1.1,242,49.4%,31%,6.5,27%,-6.3,22%,6.3,4162,37.6%,4%,-0.1,162,35.0%,24%,-1.8,33%,-2.2,16%,-0.6,3024,,4%,,120,,26%,,35%,,17%,
Ukraine,Alcohol Stores,SOLOD BEER MARKET,10082,69.4%,4%,0.5,397,91.8%,34%,4.8,29%,7.4,24%,1.2,5951,10.9%,3%,-0.8,207,-9.2%,29%,0.,22%,-8.6,23%,2.5,5364,,4%,,228,,29%,,30%,,20%,
Ukraine,Alcohol Stores,PYVOTEKA 2020,10479,23.6%,3%,-1.1,322,-9.8%,30%,-2.4,35%,1.5,19%,-2.,8481,22.7%,4%,-1.7,357,-12.7%,32%,6.8,34%,-6.5,21%,6.1,6913,,6%,,409,,25%,,40%,,15%,
Ukraine,Alcohol Stores,BEER EMPORIUM,9076,124.7%,3%,-1.1,308,70.2%,27%,-9.2,35%,8.8,18%,-9.2,4039,25.9%,4%,-0.4,181,15.3%,36%,0.8,26%,9.7,27%,-2.9,3209,,5%,,157,,36%,,16%,,30%,
Ukraine,Alcohol Stores,PYVOMARKET,8796,73.7%,4%,-1.7,320,19.4%,36%,-9.6,45%,15.7,20%,-12.4,5064,-0.4%,5%,0.5,268,10.7%,46%,0.5,30%,1.1,32%,-0.1,5085,,5%,,242,,45%,,28%,,32%,
Ukraine,Alcohol Stores,LVIVSKI KRANY,7101,-4.3%,5%,0.7,340,12.6%,27%,-2.1,24%,2.3,21%,-2.3,7417,-23.4%,4%,-0.,302,-24.1%,29%,1.5,22%,-7.5,23%,3.2,9679,,4%,,398,,28%,,29%,,20%,
Ukraine,Alcohol Stores,PYVO TUTA,12096,134.5%,2%,-1.3,255,44.9%,33%,6.2,29%,-3.3,24%,5.3,5158,23.8%,3%,-0.3,176,12.8%,27%,0.4,32%,2.6,18%,-0.4,4168,,4%,,156,,26%,,29%,,19%,
Ukraine,Alcohol Stores,PYVNA LIHA,5895,10.2%,4%,-0.3,251,3.3%,33%,0.1,33%,2.5,22%,-0.7,5347,-2.0%,5%,0.7,243,15.7%,33%,7.1,31%,-9.1,23%,7.3,5456,,4%,,210,,26%,,40%,,16%,
Ukraine,Alcohol Stores,BEERROOM,4873,-7.9%,6%,1.1,278,13.0%,33%,-8.8,16%,-4.1,28%,-5.7,5293,5.6%,5%,-0.,246,4.7%,42%,4.8,20%,2.,34%,3.1,5011,,5%,,235,,37%,,18%,,31%,
Ukraine,Alcohol Stores,PIVASOV,26623,26.9%,3%,0.1,712,31.4%,24%,9.2,56%,14.9,10%,1.9,20982,,3%,,542,,14%,,41%,,8%,,,,,,,,,,,,,
Ukraine,Alcohol Stores,BEER COMPANY,7444,46.5%,3%,-1.4,226,1.3%,32%,-4.,21%,4.5,26%,-4.8,5080,2.3%,4%,-0.,223,1.4%,36%,-3.2,16%,-6.9,30%,0.,4968,,4%,,220,,40%,,23%,,30%,
Ukraine,Alcohol Stores,BOHEMIAN KINGS BEER,7706,30.4%,3%,-0.4,209,13.6%,34%,4.6,29%,7.3,24%,1.,5911,-30.9%,3%,0.4,184,-19.7%,30%,-9.,22%,2.7,23%,-8.1,8560,,3%,,229,,39%,,19%,,31%,
