,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP"
Ukraine,Alcohol Stores,HMILNYJ,1845,233.0%,4%,-0.1,78,225.0%,12%,7.4,78%,77.8,3%,-1.6,554,-48.4%,4%,1.3,24,-27.3%,4%,-8.,0%,-50.,4%,-1.9,1074,,3%,,33,,12%,,50%,,6%,
Ukraine,Tobacco Stores,TATO VAPE,1798,,6%,,99,,17%,,88%,,2%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Pet Shops,,189,"18,800.0%",17%,-882.5,33,266.7%,6%,-38.4,0%,-50.,6%,-16.2,1,,900%,,9,,44%,,50%,,22%,,,,,,,,,,,,,
Ukraine,Alcohol Stores,MAHAZYNKAFE KEGA,2625,92.9%,2%,-0.,45,87.5%,7%,-1.7,67%,-33.3,2%,2.2,1361,-9.4%,2%,-0.3,24,-22.6%,8%,-17.5,100%,75.,0%,-19.4,1503,,2%,,31,,26%,,25%,,19%,
Ukraine,Pet Shops,GROOM HRUM,1197,677.3%,12%,-9.1,140,337.5%,5%,-4.4,86%,19.,1%,-2.4,154,,21%,,32,,9%,,67%,,3%,,,,,,,,,,,,,
Ukraine,Alcohol Stores,PODVAPYVA,1075,393.1%,3%,0.3,28,460.0%,11%,10.7,33%,,7%,7.1,218,-31.7%,2%,0.7,5,0.0%,0%,0.,,,0%,0.,319,,2%,,5,,0%,,,,0%,
Ukraine,Alcohol Stores,KHMILNA KOMORA,465,,10%,,45,,11%,,80%,,2%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Alcohol Stores,GANESHABEER,121,-95.6%,3%,-1.1,4,-96.7%,75%,57.5,67%,38.1,25%,12.5,2746,-37.3%,4%,0.1,120,-36.5%,18%,-10.,29%,-2.2,13%,-6.5,4382,,4%,,189,,28%,,31%,,19%,
Ukraine,Alcohol Stores,KHMELIAR,932,127.3%,5%,2.1,42,320.0%,10%,9.5,50%,,5%,4.8,410,23.1%,2%,-5.1,10,-60.0%,0%,-8.,,,0%,0.,333,,8%,,25,,8%,,100%,,0%,
Ukraine,Alcohol Stores,VINNIBEER,1783,9.0%,3%,0.5,56,27.3%,18%,13.3,60%,10.,7%,4.9,1636,-6.8%,3%,0.4,44,7.3%,5%,-19.8,50%,20.,2%,-14.8,1756,,2%,,41,,24%,,30%,,17%,
Ukraine,Alcohol Stores,KELYH,590,,7%,,43,,9%,,75%,,2%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Flower Shops,FLEUR DELICATE,1178,-45.6%,2%,-1.,25,-62.7%,16%,1.1,50%,10.,8%,-1.,2164,-11.6%,3%,-0.,67,-13.0%,15%,-2.,40%,-21.5,9%,2.5,2448,,3%,,77,,17%,,62%,,6%,
Ukraine,Alcohol Stores,BUKOVYNSKA KHATA,5,-99.6%,0%,-2.8,0,-100.0%,,,,,,,1177,-1.7%,3%,-0.,33,-2.9%,6%,-2.8,50%,50.,3%,-5.8,1197,,3%,,34,,9%,,0%,,9%,
Ukraine,Alcohol Stores,KULTURA PYVA,3774,-31.0%,1%,0.,51,-29.2%,4%,-4.4,100%,50.,0%,-4.2,5467,300.5%,1%,-0.8,72,148.3%,8%,-15.8,50%,7.1,4%,-9.6,1365,,2%,,29,,24%,,43%,,14%,
Ukraine,Alcohol Stores,PYVOMAN,113,,18%,,20,,5%,,100%,,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Alcohol Stores,TERITORYIAPIVA,24,,0%,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Alcohol Stores,TINA`S RESTO,1626,13.5%,3%,0.4,49,32.4%,4%,1.4,100%,0.,0%,0.,1433,-17.9%,3%,-1.2,37,-43.9%,3%,-1.8,100%,0.,0%,0.,1746,,4%,,66,,5%,,100%,,0%,
Ukraine,Alcohol Stores,YOSHKIN KIT,2752,21.6%,5%,-0.8,150,5.6%,2%,1.3,67%,66.7,1%,-0.,2263,10.8%,6%,0.3,142,17.4%,1%,-0.9,0%,-100.,1%,0.7,2042,,6%,,121,,2%,,100%,,0%,
Ukraine,Erotic,FRESH HEAVEN SHOP,382,161.6%,4%,0.5,15,200.0%,0%,0.,,,0%,0.,146,-65.5%,3%,-1.8,5,-77.3%,0%,0.,,,0%,0.,423,,5%,,22,,0%,,,,0%,
Ukraine,Flower Shops,AMELI FLOWERS,1797,20.9%,3%,0.3,45,36.4%,0%,0.,,,0%,0.,1486,-1.5%,2%,-0.4,33,-17.5%,0%,0.,,,0%,0.,1508,,3%,,40,,0%,,,,0%,
Ukraine,Flower Shops,ELEN HELEN,3,,0%,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Flower Shops,FAIRY TALE,202,274.1%,0%,-3.2,1,-50.0%,0%,0.,,,0%,0.,54,-78.0%,4%,0.4,2,-75.0%,0%,0.,,,0%,0.,245,,3%,,8,,0%,,,,0%,
Ukraine,Flower Shops,LAVENDER BY LK,2268,53.0%,6%,-0.2,144,48.5%,8%,8.3,100%,,0%,0.,1482,-23.0%,7%,0.5,97,-17.1%,0%,-1.7,,,0%,-0.9,1924,,6%,,117,,2%,,50%,,1%,
Ukraine,Flower Shops,PINK FLOWER,903,"4,652.6%",3%,3.4,31,,3%,,0%,,3%,,19,,0%,,0,,,,,,,,,,,,,,,,,,,
Ukraine,Flower Shops,SEVEN ROSES,2538,,6%,,149,,4%,,100%,,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Grocery Stores,,4,,75%,,3,,100%,,100%,,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Grocery Stores,BEER MARKET,168,184.7%,2%,0.7,4,300.0%,0%,-100.,,,0%,0.,59,,2%,,1,,100%,,100%,,0%,,,,,,,,,,,,,
Ukraine,Grocery Stores,FRANICOFFE,341,-58.7%,4%,-1.,12,-67.6%,0%,0.,,,0%,0.,825,4.8%,4%,2.5,37,131.3%,0%,0.,,,0%,0.,787,,2%,,16,,0%,,,,0%,
Ukraine,Grocery Stores,GLOTOK,201,-11.8%,7%,0.4,15,-6.3%,7%,-5.8,100%,100.,0%,-12.5,228,-61.7%,7%,-4.6,16,-76.8%,13%,6.7,0%,-50.,13%,9.6,596,,12%,,69,,6%,,50%,,3%,
Ukraine,Grocery Stores,RAJ SMAKIV,305,-37.4%,6%,0.,17,-37.0%,0%,0.,,,0%,0.,487,-27.3%,6%,0.6,27,-18.2%,0%,0.,,,0%,0.,670,,5%,,33,,0%,,,,0%,
Ukraine,Grocery Stores,ROST,6,,167%,,10,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Grocery Stores,SONIACHNA FERMA,398,-62.1%,3%,-0.5,13,-66.7%,8%,7.7,0%,,8%,7.7,1049,7.0%,4%,-0.2,39,2.6%,0%,0.,,,0%,0.,980,,4%,,38,,0%,,,,0%,
Ukraine,Pet Shops,REPTO BOUTIQUE,457,101.3%,8%,0.4,36,111.8%,3%,-14.9,100%,66.7,0%,-11.8,227,76.0%,7%,-2.6,17,30.8%,18%,10.,33%,33.3,12%,4.1,129,,10%,,13,,8%,,0%,,8%,
Ukraine,Pet Shops,ZOO STRIDER IN DIVERSITY,270,-27.6%,5%,0.6,14,-17.6%,0%,-5.9,,,0%,0.,373,390.8%,5%,0.6,17,466.7%,6%,5.9,100%,,0%,0.,76,,4%,,3,,0%,,,,0%,
Ukraine,Specialty Stores,IKURA MARKET,4778,69.9%,4%,1.,181,132.1%,7%,6.6,100%,,0%,0.,2812,14.8%,3%,-0.2,78,6.8%,0%,-4.1,,,0%,0.,2450,,3%,,73,,4%,,100%,,0%,
Ukraine,Specialty Stores,MARMELADNYI DZHEK,3094,33.7%,3%,0.1,104,38.7%,2%,1.9,100%,,0%,0.,2314,52.1%,3%,-2.5,75,-14.8%,0%,-1.1,,,0%,0.,1521,,6%,,88,,1%,,100%,,0%,
Ukraine,Specialty Stores,NAPIVFABRYKATY SALATEIRA,11993,-15.2%,4%,-0.6,485,-25.5%,0%,0.3,100%,0.,0%,0.,14136,-1.7%,5%,-0.4,651,-10.3%,0%,-0.7,100%,0.,0%,0.,14387,,5%,,726,,1%,,100%,,0%,
Ukraine,Tobacco Stores,DUDKA,4281,33.5%,7%,-1.5,305,10.9%,8%,1.7,83%,26.4,1%,-1.2,3206,-20.8%,9%,2.3,275,7.4%,6%,-0.,56%,-23.8,3%,1.4,4047,,6%,,256,,6%,,80%,,1%,
Ukraine,Tobacco Stores,VAPORS,80,700.0%,18%,17.5,14,,29%,,50%,,14%,,10,,0%,,0,,,,,,,,,,,,,,,,,,,
Ukraine,Alcohol Stores,WINE GALLERY,,,,,,,,,,,,,2676,-19.9%,3%,-0.,79,-21.0%,28%,8.8,18%,-2.9,23%,7.8,3342,,3%,,100,,19%,,21%,,15%,
Ukraine,Grocery Stores,O'NDE,,,,,,,,,,,,,,,,,,,,,,,,,3028,,8%,,241,,30%,,38%,,19%,
Ukraine,Specialty Stores,FERMA BRATA,,,,,,,,,,,,,454,-70.4%,5%,-0.6,22,-73.5%,32%,13.7,57%,23.8,14%,1.6,1534,,5%,,83,,18%,,33%,,12%,
Ukraine,Alcohol Stores,YEPYVO,,,,,,,,,,,,,,,,,,,,,,,,,1745,,5%,,92,,25%,,48%,,13%,
Ukraine,Alcohol Stores,BEE R,,,,,,,,,,,,,585,-38.8%,6%,-0.2,36,-41.0%,17%,-4.6,83%,44.9,3%,-10.3,956,,6%,,61,,21%,,38%,,13%,
Ukraine,Alcohol Stores,KHMIL + GRILL,,,,,,,,,,,,,,,,,,,,,,,,,997,,3%,,30,,43%,,46%,,23%,
Ukraine,Specialty Stores,VAPE BROTHERS,,,,,,,,,,,,,,,,,,,,,,,,,1222,,11%,,137,,4%,,60%,,1%,
Ukraine,Alcohol Stores,BRO-BEER,,,,,,,,,,,,,,,,,,,,,,,,,385,,3%,,10,,40%,,50%,,20%,
Ukraine,Alcohol Stores,BEERBERSHOP,,,,,,,,,,,,,,,,,,,,,,,,,430,,3%,,11,,27%,,67%,,9%,
Ukraine,Alcohol Stores,BEERCRAFT,,,,,,,,,,,,,135,-71.2%,2%,-0.8,3,-78.6%,0%,-7.1,,,0%,-7.1,468,,3%,,14,,7%,,0%,,7%,
Ukraine,Alcohol Stores,BREW ELIT,,,,,,,,,,,,,66,,21%,,14,,29%,,25%,,21%,,,,,,,,,,,,,
Ukraine,Alcohol Stores,DROVA ODESA,,,,,,,,,,,,,248,-81.0%,6%,3.3,15,-58.3%,7%,6.7,100%,,0%,0.,1305,,3%,,36,,0%,,,,0%,
Ukraine,Alcohol Stores,GAVA CRAFT,,,,,,,,,,,,,18,-82.0%,17%,8.7,3,-62.5%,0%,0.,,,0%,0.,100,,8%,,8,,0%,,,,0%,
Ukraine,Alcohol Stores,LIVE BEER,,,,,,,,,,,,,19,-97.0%,0%,-0.6,0,-100.0%,,,,,,,627,,1%,,4,,25%,,100%,,0%,
Ukraine,Alcohol Stores,LOCATSIA,,,,,,,,,,,,,74,-89.2%,3%,0.9,2,-83.3%,0%,0.,,,0%,0.,684,,2%,,12,,0%,,,,0%,
Ukraine,Flower Shops,GREEN HOUSE LILY,,,,,,,,,,,,,1168,,7%,,85,,1%,,100%,,0%,,,,,,,,,,,,,
Ukraine,Alcohol Stores,HAVAN ALCO,,,,,,,,,,,,,,,,,,,,,,,,,109,,1%,,1,,0%,,,,0%,
Ukraine,Alcohol Stores,PYVNYI KYXOL,,,,,,,,,,,,,,,,,,,,,,,,,1,,0%,,0,,,,,,,
Ukraine,Alcohol Stores,THE BEERSHOP#1,,,,,,,,,,,,,,,,,,,,,,,,,875,,2%,,18,,6%,,100%,,0%,
