,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP"
Ukraine,Grocery Stores,SHARLOTKA_,536.586914063,1,0%,99%,2.9,,,536.586914063,18%,-7.4,11%,4.5,4%,2.2,16%,11.,536.586914063,0%,-5.,40,0%,5%,5.4,0%,0.,,,3%,2.7,282.645782471,1,0%,96%,-1.6,,,282.645782471,26%,6.1,7%,-3.2,2%,-1.3,5%,-1.4,282.645782471,5%,5.,40,-7%,0%,0.,0%,0.,,,0%,0.,216.165847778,1,,98%,,,,216.165847778,20%,,10%,,3%,,7%,,216.165847778,0%,,43,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,BEER SHOP VINNITSYA,533.681091309,1,-50%,35%,-18.8,,,533.681091309,19%,2.9,4%,3.9,1%,1.3,6%,6.4,533.681091309,4%,-1.8,29,25%,2%,2.,0%,0.,,,0%,-1.5,786.948699951,2,0%,54%,-36.3,,,786.948699951,16%,1.,0%,-9.1,0%,-3.8,0%,0.,786.948699951,6%,-0.,23,-31%,0%,-5.1,0%,0.,,,1%,-1.1,1219.120483398,2,,90%,,,,1219.120483398,15%,,9%,,4%,,0%,,1219.120483398,6%,,34,,5%,,0%,,,,3%,
Ukraine,Alcohol Stores,PYVO L BEER BAR,528.303405762,1,0%,90%,-7.7,,,528.303405762,13%,-2.2,15%,4.4,3%,1.6,14%,13.6,528.303405762,0%,-5.,24,-8%,0%,0.,0%,0.,,,9%,4.1,384.826324463,1,0%,98%,-1.1,,,384.826324463,15%,-5.9,11%,10.7,2%,1.5,0%,0.,384.826324463,5%,1.4,27,-2%,0%,-3.6,0%,0.,,,5%,-2.1,435.910858154,1,,99%,,,,435.910858154,21%,,0%,,0%,,0%,,435.910858154,4%,,27,,4%,,0%,,,,7%,
Ukraine,Alcohol Stores,JERKINS AND BEER,523.796813965,1,0%,99%,0.8,,,523.796813965,17%,0.8,3%,-1.,2%,0.,2%,-1.3,523.796813965,15%,12.1,32,-9%,5%,-4.4,0%,0.,,,10%,7.,671.459960938,1,0%,98%,1.4,,,671.459960938,16%,1.9,4%,3.,2%,1.2,3%,1.7,671.459960938,3%,1.6,35,11%,10%,1.6,0%,0.,,,3%,-1.6,715.397277832,1,,97%,,,,715.397277832,14%,,1%,,0%,,2%,,715.397277832,2%,,32,,8%,,0%,,,,5%,
Ukraine,Specialty Stores,COFFEE STORY,501.744781494,1,0%,99%,1.5,,,501.744781494,27%,11.2,65%,-1.1,16%,3.5,49%,14.4,501.744781494,2%,-8.9,30,-13%,5%,3.,0%,0.,,,7%,6.,1171.058349609,1,0%,97%,20.7,,,1171.058349609,16%,-4.1,66%,31.8,12%,4.9,35%,13.6,1171.058349609,11%,-20.2,35,-10%,2%,2.4,0%,0.,,,1%,1.2,433.501647949,1,,77%,,,,433.501647949,20%,,34%,,8%,,21%,,433.501647949,31%,,38,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,MAHAZYN-KAFE BAVARIA,499.526000977,1,0%,98%,-0.2,,,499.526000977,18%,-1.7,82%,-7.,24%,1.7,73%,6.7,499.526000977,6%,1.7,30,5%,6%,4.,0%,0.,,,3%,-10.5,700.171569824,1,0%,99%,-0.4,,,700.171569824,20%,0.6,89%,18.8,22%,5.7,67%,23.3,700.171569824,5%,1.3,28,2%,2%,-4.2,0%,0.,,,14%,4.,494.437255859,1,,99%,,,,494.437255859,19%,,70%,,17%,,43%,,494.437255859,3%,,28,,6%,,0%,,,,10%,
Ukraine,Alcohol Stores,BEER GODS,499.438079834,1,0%,97%,16.9,,,499.438079834,11%,-3.7,36%,-31.9,12%,-3.9,62%,-13.5,499.438079834,0%,0.,75,162%,4%,3.8,0%,0.,,,4%,3.8,114.864257813,1,,80%,,,,114.864257813,15%,,68%,,16%,,75%,,114.864257813,0%,,28,,0%,,0%,,,,0%,,0,0,,,,,,0,,,,,,,,,0,,,,,,,,,,,,
Ukraine,Alcohol Stores,CRAFT BEER DNIPRO,481.831558228,2,0%,98%,0.1,,,481.831558228,19%,2.2,13%,1.1,4%,2.2,7%,6.8,481.831558228,24%,-0.4,28,-23%,3%,-9.8,0%,0.,,,2%,-5.8,403.348007202,2,-33%,97%,27.8,,,403.348007202,17%,-1.1,12%,8.2,2%,1.3,0%,-1.8,403.348007202,25%,3.4,37,4%,13%,6.2,0%,0.,,,8%,-2.3,596.565063477,3,,70%,,,,596.565063477,18%,,4%,,0%,,2%,,596.565063477,21%,,35,,7%,,0%,,,,10%,
Ukraine,Alcohol Stores,BRATER BEER WE GO,478.458913803,2,0%,70%,14.4,,,478.458913803,21%,-3.1,17%,15.2,9%,9.1,10%,10.2,478.458913803,2%,-2.7,25,-2%,2%,-1.1,0%,0.,,,4%,0.9,551.631713867,2,-33%,55%,24.3,,,551.631713867,24%,1.5,2%,-1.,0%,-0.3,0%,0.,551.631713867,5%,2.9,26,16%,3%,3.1,0%,0.,,,3%,-2.3,491.967681885,3,,31%,,,,491.967681885,23%,,3%,,0%,,0%,,491.967681885,2%,,22,,0%,,0%,,,,5%,
Ukraine,Alcohol Stores,GOLD BEER PUB,474.219390869,1,0%,100%,-0.1,,,474.219390869,14%,1.4,0%,0.,1%,1.4,20%,19.6,474.219390869,0%,0.,19,-4%,2%,2.,0%,0.,,,0%,0.,49.825843811,1,0%,100%,0.4,,,49.825843811,13%,-2.2,0%,0.,0%,0.,0%,0.,49.825843811,0%,0.,20,-11%,0%,0.,0%,0.,,,0%,0.,140.642440796,1,,100%,,,,140.642440796,15%,,0%,,0%,,0%,,140.642440796,0%,,22,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,DRAFT BEER VINNYTSIA,457.50554657,2,0%,80%,-4.3,,,457.50554657,17%,1.7,12%,12.,4%,4.2,15%,15.2,457.50554657,0%,0.,25,-2%,4%,0.8,0%,0.,,,2%,2.2,556.617156982,2,0%,85%,29.4,,,556.617156982,15%,-0.7,0%,-1.,0%,-0.3,0%,0.,556.617156982,0%,-1.7,26,-3%,4%,-1.6,0%,0.,,,0%,-1.7,604.725086212,2,,55%,,,,604.725086212,16%,,1%,,0%,,0%,,604.725086212,2%,,26,,5%,,0%,,,,2%,
Ukraine,Alcohol Stores,MISTO PIVMARKET,456.179901123,1,0%,99%,-0.1,,,456.179901123,14%,-0.5,17%,15.3,13%,12.4,2%,1.6,456.179901123,0%,0.,21,30%,0%,-2.,0%,0.,,,0%,0.,441.991516113,1,0%,100%,-0.1,,,441.991516113,14%,1.7,2%,-5.3,0%,-2.9,0%,0.,441.991516113,0%,0.,16,1%,2%,2.,0%,0.,,,0%,0.,369.332885742,1,,100%,,,,369.332885742,13%,,7%,,3%,,0%,,369.332885742,0%,,16,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,KLAN PYVA,430.003387451,1,0%,96%,-2.1,,,430.003387451,14%,-3.7,57%,-29.9,20%,-0.,48%,-34.3,430.003387451,0%,-4.2,20,-27%,0%,-4.2,0%,0.,,,0%,0.,394.734985352,1,0%,98%,3.5,,,394.734985352,18%,0.9,87%,14.4,20%,2.6,83%,15.9,394.734985352,4%,4.2,27,1%,4%,-4.2,0%,0.,,,0%,-8.3,167.735610962,1,,94%,,,,167.735610962,17%,,73%,,17%,,67%,,167.735610962,0%,,27,,8%,,0%,,,,8%,
Ukraine,Flower Shops,ONE SAY,417.823730469,1,0%,93%,-1.8,,,417.823730469,7%,-3.8,0%,0.,0%,0.,0%,0.,417.823730469,13%,12.5,162,74%,,,0%,0.,,,13%,12.5,492.933074951,1,0%,95%,1.2,,,492.933074951,11%,1.9,0%,-22.8,0%,-2.1,0%,0.,492.933074951,0%,-8.3,93,-46%,,,0%,0.,,,0%,-8.3,594.620117188,1,,94%,,,,594.620117188,9%,,23%,,2%,,0%,,594.620117188,8%,,172,,,,0%,,,,8%,
Ukraine,Alcohol Stores,BEER AND MORE,382.295959473,1,0%,100%,8.3,,,382.295959473,12%,-1.7,0%,0.,2%,1.9,53%,52.9,382.295959473,0%,-14.3,26,-3%,0%,0.,0%,0.,,,12%,11.8,120.378639221,1,0%,91%,-8.2,,,120.378639221,14%,4.4,0%,0.,0%,0.,0%,0.,120.378639221,14%,14.3,27,23%,0%,0.,0%,0.,,,0%,0.,134.79699707,1,,100%,,,,134.79699707,9%,,0%,,0%,,0%,,134.79699707,0%,,22,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,CHEESE&WINE,360.182029724,11,-8%,63%,-0.1,,,360.182029724,14%,1.,10%,10.2,8%,7.7,6%,6.1,360.182029724,13%,-20.2,27,-72%,6%,1.4,0%,0.,,,11%,6.4,235.055856228,12,-8%,63%,13.6,,,235.055856228,13%,1.2,0%,0.,0%,0.,0%,0.,235.055856228,33%,9.3,96,249%,4%,-3.8,0%,0.,,,4%,0.2,313.471801758,13,,50%,,,,313.471801758,12%,,0%,,0%,,0%,,313.471801758,24%,,28,,8%,,0%,,,,4%,
Ukraine,Alcohol Stores,PIV.KO,351.638198853,2,0%,95%,-1.7,,,351.638198853,12%,-3.6,20%,20.1,5%,4.9,0%,0.,351.638198853,5%,0.7,21,5%,3%,-1.8,0%,0.,,,5%,5.,155.438806534,2,0%,96%,0.4,,,155.438806534,16%,0.5,0%,-14.9,0%,-4.1,0%,-3.4,155.438806534,4%,4.3,20,-23%,4%,0.9,0%,0.,,,0%,-3.4,330.580291748,2,,96%,,,,330.580291748,15%,,15%,,4%,,3%,,330.580291748,0%,,26,,3%,,0%,,,,3%,
Ukraine,Alcohol Stores,JAGER BREWERY,348.382843018,1,0%,100%,0.1,,,348.382843018,17%,3.,9%,7.1,4%,3.8,13%,12.5,348.382843018,0%,-2.6,21,13%,5%,2.4,0%,0.,,,0%,0.,372.143951416,1,0%,100%,34.9,,,372.143951416,14%,-6.,2%,-2.3,0%,-1.1,0%,0.,372.143951416,3%,-4.8,19,-11%,3%,2.6,0%,0.,,,0%,0.,169.485565186,1,,65%,,,,169.485565186,20%,,4%,,1%,,0%,,169.485565186,7%,,21,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,CRAFT BEER MARKET,342.624221802,2,0%,92%,6.8,,,342.624221802,12%,-11.8,90%,26.6,28%,7.5,80%,7.3,342.624221802,9%,-6.3,33,14%,3%,3.2,0%,0.,,,9%,5.2,170.923088074,2,0%,85%,-6.9,,,170.923088074,24%,11.4,63%,-7.8,20%,3.6,73%,-8.2,170.923088074,15%,10.8,29,-17%,0%,-9.1,0%,0.,,,4%,-0.7,251.019130707,2,,92%,,,,251.019130707,13%,,71%,,17%,,81%,,251.019130707,5%,,35,,9%,,0%,,,,5%,
Ukraine,Alcohol Stores,COOL BEER,342.335998535,1,0%,100%,0.4,,,342.335998535,18%,0.8,6%,6.4,5%,5.2,10%,10.,342.335998535,3%,-13.4,66,51%,0%,0.,0%,0.,,,0%,-8.3,190.727890015,1,0%,100%,-0.1,,,190.727890015,17%,-2.3,0%,0.,0%,0.,0%,0.,190.727890015,17%,11.1,44,99%,0%,0.,0%,0.,,,8%,8.3,219.279953003,1,,100%,,,,219.279953003,19%,,0%,,0%,,0%,,219.279953003,6%,,22,,0%,,0%,,,,0%,
Ukraine,Tobacco Stores,VAPERY | VAPE SHOP,316.520404816,5,-44%,12%,1.5,,,316.520404816,25%,2.3,0%,0.,0%,0.4,4%,4.3,316.520404816,54%,5.1,27,-21%,2%,2.,0%,0.,,,0%,-2.2,364.100730896,9,-31%,10%,1.7,,,364.100730896,22%,1.2,0%,0.,0%,0.,0%,0.,364.100730896,49%,-4.1,34,-7%,0%,-2.,0%,0.,,,2%,2.2,367.597887039,13,,8%,,,,367.597887039,21%,,0%,,0%,,0%,,367.597887039,53%,,37,,2%,,0%,,,,0%,
Ukraine,Tobacco Stores,VAPESEE,312.149169922,1,,59%,59.,,,312.149169922,17%,,7%,,7%,,100%,,312.149169922,12%,,38,,12%,,0%,,,,4%,,0,0,,0%,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Erotic,INTIMATE COMPANY,306.386993408,1,0%,89%,-9.5,,,306.386993408,8%,-1.8,6%,6.2,1%,1.1,0%,0.,306.386993408,23%,3.1,111,308%,0%,0.,0%,0.,,,0%,0.,83.689300537,1,0%,98%,-1.6,,,83.689300537,10%,-6.9,0%,-50.7,0%,-24.5,0%,-88.9,83.689300537,20%,20.,27,-9%,0%,0.,0%,0.,,,0%,0.,92.984939575,1,,100%,,,,92.984939575,17%,,51%,,24%,,89%,,92.984939575,0%,,30,,0%,,0%,,,,0%,
Ukraine,Grocery Stores,HALYA BALUVANA,304.719909668,1,0%,48%,3.5,,,304.719909668,9%,-2.2,17%,17.1,8%,8.3,19%,18.8,304.719909668,24%,11.3,31,17%,5%,4.8,0%,0.,,,0%,0.,119.875839233,1,0%,45%,9.9,,,119.875839233,12%,1.7,0%,-19.,0%,-9.7,0%,-71.4,119.875839233,13%,0.,26,-69%,0%,0.,0%,0.,,,0%,0.,123.535476685,1,,35%,,,,123.535476685,10%,,19%,,10%,,71%,,123.535476685,13%,,85,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,SUSHI VESLA,296.125237465,4,-43%,40%,-18.,,,296.125237465,17%,4.5,0%,-2.2,1%,0.6,15%,15.4,296.125237465,16%,5.6,39,3%,6%,1.2,0%,0.,,,3%,-0.3,685.931776047,7,0%,58%,-20.1,,,685.931776047,13%,1.8,2%,2.2,1%,0.7,0%,-2.9,685.931776047,11%,-6.1,38,-48%,5%,-2.1,0%,0.,,,4%,-6.,450.276684761,7,,78%,,,,450.276684761,11%,,0%,,0%,,3%,,450.276684761,17%,,72,,7%,,0%,,,,10%,
Ukraine,Alcohol Stores,SOLO VINO,289.070343018,4,0%,93%,-2.7,,,289.070343018,6%,-4.4,0%,0.,0%,0.,0%,0.,289.070343018,11%,2.,31,84%,0%,0.,0%,0.,,,0%,0.,212.973297119,4,0%,96%,5.,,,212.973297119,10%,-2.8,0%,0.,0%,0.,0%,0.,212.973297119,9%,9.1,17,-27%,0%,0.,0%,0.,,,0%,0.,31.440727234,4,,91%,,,,31.440727234,13%,,0%,,0%,,0%,,31.440727234,0%,,23,,0%,,0%,,,,0%,
Ukraine,Flower Shops,KVITY VAV,285.978748322,3,0%,99%,-0.5,,,285.978748322,11%,1.6,25%,15.6,8%,6.7,0%,0.,285.978748322,0%,-8.3,161,110%,0%,0.,0%,0.,,,0%,0.,343.479293823,3,0%,100%,0.2,,,343.479293823,9%,1.9,9%,-20.4,2%,0.2,0%,0.,343.479293823,8%,8.3,77,-46%,0%,-12.5,0%,0.,,,0%,0.,585.623764038,3,,99%,,,,585.623764038,7%,,30%,,2%,,0%,,585.623764038,0%,,144,,13%,,0%,,,,0%,
Ukraine,Alcohol Stores,PYVO I VISKI LBEER,285.592010498,1,0%,99%,-0.7,,,285.592010498,23%,5.1,0%,0.,1%,0.9,11%,11.1,285.592010498,5%,-0.6,26,-5%,0%,-5.9,0%,0.,,,0%,0.,352.538330078,1,0%,100%,-0.1,,,352.538330078,18%,0.2,0%,0.,0%,0.,0%,0.,352.538330078,6%,5.9,27,20%,6%,5.9,0%,0.,,,0%,0.,208.934265137,1,,100%,,,,208.934265137,18%,,0%,,0%,,0%,,208.934265137,0%,,22,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,BEERSTORE,284.804242611,4,0%,100%,35.1,,,284.804242611,17%,9.3,8%,8.2,5%,4.8,28%,28.,284.804242611,4%,-29.5,31,-98%,0%,0.,0%,0.,,,27%,26.9,16.618243158,4,100%,65%,-26.,,,16.618243158,7%,-13.6,0%,0.,0%,0.,0%,0.,16.618243158,33%,4.8,1517,"4,333%",0%,-7.1,0%,0.,,,0%,-7.1,98.953462601,2,,91%,,,,98.953462601,21%,,0%,,0%,,0%,,98.953462601,29%,,34,,7%,,0%,,,,7%,
Ukraine,Alcohol Stores,PYVKO,283.059356689,2,0%,53%,-9.4,,,283.059356689,22%,5.6,0%,-6.2,1%,-4.1,7%,-34.,283.059356689,0%,0.,25,-16%,0%,-3.4,0%,0.,,,0%,0.,418.40423584,2,0%,63%,4.5,,,418.40423584,17%,-1.5,6%,6.2,5%,1.2,41%,11.7,418.40423584,0%,-3.6,30,14%,3%,-0.1,0%,0.,,,0%,-7.1,333.636505127,2,,58%,,,,333.636505127,18%,,0%,,4%,,30%,,333.636505127,4%,,26,,4%,,0%,,,,7%,
Ukraine,Grocery Stores,LEPRUKON,271.442810059,1,0%,100%,0.4,,,271.442810059,26%,4.1,0%,-24.1,3%,-19.9,22%,-76.8,271.442810059,11%,9.8,45,59%,8%,1.7,0%,0.,,,8%,4.3,678.58392334,1,0%,100%,1.8,,,678.58392334,22%,-2.2,24%,-4.8,23%,0.8,99%,-0.3,678.58392334,1%,-3.5,28,4%,7%,6.7,0%,0.,,,4%,2.1,741.440124512,1,,98%,,,,741.440124512,24%,,29%,,23%,,99%,,741.440124512,5%,,27,,0%,,0%,,,,2%,
Ukraine,Alcohol Stores,ROCK BEER,263.00579834,1,0%,89%,6.,,,263.00579834,18%,0.2,3%,2.8,2%,2.1,21%,21.4,263.00579834,3%,3.4,21,27%,3%,3.4,0%,0.,,,0%,0.,43.331432343,1,0%,83%,-4.,,,43.331432343,18%,-5.7,0%,0.,0%,0.,0%,0.,43.331432343,0%,0.,17,-21%,0%,0.,0%,0.,,,0%,0.,74.15007019,1,,87%,,,,74.15007019,24%,,0%,,0%,,0%,,74.15007019,0%,,21,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,BROVARNYA 8,260.670560837,2,0%,94%,-2.4,,,260.670560837,18%,1.9,1%,1.1,1%,1.1,10%,10.3,260.670560837,6%,1.,21,-55%,0%,0.,0%,0.,,,0%,0.,375.548112869,2,0%,97%,0.5,,,375.548112869,16%,-1.8,0%,-5.5,0%,-0.6,0%,0.,375.548112869,5%,2.,46,76%,0%,0.,0%,0.,,,0%,-6.9,313.545372009,2,,96%,,,,313.545372009,18%,,6%,,1%,,0%,,313.545372009,3%,,26,,0%,,0%,,,,7%,
Ukraine,Alcohol Stores,KAFETERIY,254.523887634,2,0%,94%,3.2,,,254.523887634,15%,1.2,29%,-37.7,9%,-11.1,33%,-66.7,254.523887634,4%,-1.3,27,-9%,4%,-1.3,0%,0.,,,0%,-2.6,435.857284546,2,0%,91%,-4.9,,,435.857284546,14%,0.1,67%,-1.9,20%,-0.2,100%,0.,435.857284546,5%,5.3,30,3%,5%,1.1,0%,0.,,,3%,-5.7,261.748916626,2,,95%,,,,261.748916626,14%,,68%,,20%,,100%,,261.748916626,0%,,29,,4%,,0%,,,,8%,
Ukraine,Flower Shops,FRESH FLOWERS,251.09336853,1,0%,83%,40.2,,,251.09336853,11%,-0.6,0%,0.,2%,1.8,43%,42.9,251.09336853,0%,0.,47,-92%,14%,14.3,0%,0.,,,0%,0.,169.290039063,1,-50%,43%,0.1,,,169.290039063,12%,-2.8,0%,0.,0%,0.,0%,0.,169.290039063,0%,0.,588,100%,0%,0.,0%,0.,,,0%,0.,109.354934692,2,,43%,,,,109.354934692,15%,,0%,,0%,,0%,,109.354934692,0%,,294,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,DRAFT & CRAFT BEER SHOP,233.931808472,1,0%,99%,0.7,,,233.931808472,11%,-2.2,17%,7.9,26%,5.6,94%,14.1,233.931808472,0%,0.,29,-11%,6%,-4.1,0%,0.,,,0%,0.,129.5362854,1,0%,98%,0.2,,,129.5362854,14%,1.3,9%,-7.,21%,-2.4,80%,-11.7,129.5362854,0%,-7.7,33,23%,10%,2.3,0%,0.,,,0%,0.,134.897216797,1,,98%,,,,134.897216797,12%,,16%,,23%,,92%,,134.897216797,8%,,27,,8%,,0%,,,,0%,
Ukraine,Alcohol Stores,PIVOVAR,233.925729752,5,0%,57%,-21.4,,,233.925729752,17%,-0.8,0%,-9.,0%,-1.9,0%,-3.1,233.925729752,7%,2.4,33,-0%,7%,-0.6,0%,0.,,,3%,3.4,576.316810608,5,0%,78%,34.3,,,576.316810608,17%,4.7,9%,9.,2%,1.9,3%,3.1,576.316810608,4%,-28.9,33,-4%,7%,7.5,0%,0.,,,0%,0.,18.890571594,5,,44%,,,,18.890571594,13%,,0%,,0%,,0%,,18.890571594,33%,,34,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,PIVNOY BUTIK,232.306091309,1,0%,84%,-9.7,,,232.306091309,20%,3.3,8%,-2.4,6%,3.2,20%,20.,232.306091309,4%,-12.2,29,-20%,8%,-0.3,0%,0.,,,0%,0.,297.516448975,1,0%,94%,5.1,,,297.516448975,16%,1.7,10%,10.3,2%,2.4,0%,0.,297.516448975,16%,8.3,37,-6%,8%,0.3,0%,0.,,,0%,-15.4,185.270431519,1,,89%,,,,185.270431519,15%,,0%,,0%,,0%,,185.270431519,8%,,39,,8%,,0%,,,,15%,
Ukraine,Tobacco Stores,13GRAM,225.360380173,6,0%,58%,-6.,,,225.360380173,14%,-0.4,0%,0.,2%,1.7,25%,25.,225.360380173,16%,-24.2,27,14%,5%,5.3,0%,0.,,,5%,5.3,38.302238464,6,0%,64%,-9.9,,,38.302238464,14%,-4.2,0%,0.,0%,0.,0%,0.,38.302238464,40%,21.8,24,-21%,0%,0.,0%,0.,,,0%,-9.1,79.060870171,6,,74%,,,,79.060870171,19%,,0%,,0%,,0%,,79.060870171,18%,,30,,0%,,0%,,,,9%,
Ukraine,Tobacco Stores,PARA RIVNE,214.053782463,5,,50%,50.4,,,214.053782463,13%,,39%,,12%,,7%,,214.053782463,12%,,38,,6%,,0%,,,,12%,,0,0,,0%,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,0,,,,,,,,,,,,
Ukraine,Grocery Stores,SPAR,211.933013916,1,0%,69%,65.6,92%,0.5,211.933013916,13%,-14.4,31%,30.6,11%,10.8,14%,14.3,211.933013916,46%,46.2,43,106%,4%,3.8,47%,47.4,89%,,4%,3.8,14.299449921,1,0%,3%,3.2,91%,,14.299449921,27%,,0%,,0%,,0%,,14.299449921,0%,,21,,0%,,0%,,,,0%,,0,1,,0%,,,,0,,,,,,,,,0,,,,,,,,,,,,
Ukraine,Alcohol Stores,BEER TIME KYIV,211.3126297,2,0%,100%,0.3,,,211.3126297,23%,6.1,0%,0.,2%,2.5,22%,22.2,211.3126297,5%,5.3,28,-5%,6%,5.6,0%,0.,,,0%,-12.5,144.52130127,2,100%,100%,-0.3,,,144.52130127,17%,-5.4,0%,0.,0%,0.,0%,0.,144.52130127,0%,0.,29,7%,0%,0.,0%,0.,,,13%,-5.7,135.829940796,1,,100%,,,,135.829940796,23%,,0%,,0%,,0%,,135.829940796,0%,,27,,0%,,0%,,,,18%,
Ukraine,Alcohol Stores,BEER FRESH,210.682067871,1,0%,85%,-10.8,,,210.682067871,14%,-1.,6%,6.1,3%,2.7,0%,0.,210.682067871,9%,9.1,28,5%,5%,4.5,0%,0.,,,9%,4.1,235.578994751,1,0%,96%,3.2,,,235.578994751,15%,4.8,0%,-9.3,0%,-4.2,0%,0.,235.578994751,0%,-6.3,27,-4%,0%,-6.3,0%,0.,,,5%,5.,229.883605957,1,,93%,,,,229.883605957,11%,,9%,,4%,,0%,,229.883605957,6%,,28,,6%,,0%,,,,0%,
Ukraine,Alcohol Stores,BEER CLUB LVIV,210.350570679,1,0%,100%,54.3,,,210.350570679,20%,20.4,0%,0.,0%,0.,0%,0.,210.350570679,0%,0.,29,50%,0%,,0%,0.,,,0%,0.,3.375018597,1,,45%,,,,3.375018597,0%,,0%,,0%,,0%,,3.375018597,0%,,19,,,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Alcohol Stores,PIVKO KHM,209.808746338,1,0%,97%,-1.1,,,209.808746338,9%,-2.8,44%,35.4,28%,27.1,5%,5.3,209.808746338,5%,5.,35,70%,0%,0.,0%,0.,,,0%,-4.5,228.761169434,1,0%,98%,-1.5,,,228.761169434,12%,0.2,9%,8.9,1%,1.2,0%,0.,228.761169434,0%,-6.7,20,-7%,0%,0.,0%,0.,,,5%,4.5,148.047576904,1,,99%,,,,148.047576904,12%,,0%,,0%,,0%,,148.047576904,7%,,22,,0%,,0%,,,,0%,
