,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP"
Ukraine,Alcohol Stores,PYVNA SOVA,4915.74471283,7,0%,88%,4.,,,4915.74471283,9%,-1.3,94%,9.8,29%,7.8,90%,-2.4,4915.74471283,3%,-0.2,28,-7%,5%,2.2,0%,0.,,,1%,-1.7,2785.870754242,7,0%,84%,-2.1,,,2785.870754242,10%,0.,84%,-7.9,22%,0.9,93%,-5.4,2785.870754242,3%,-0.,30,12%,2%,-1.5,0%,0.,,,3%,0.4,2367.880096436,7,,86%,,,,2367.880096436,10%,,92%,,21%,,98%,,2367.880096436,3%,,27,,4%,,0%,,,,2%,
Ukraine,Alcohol Stores,MAXBEER,3910.867797852,13,0%,88%,-3.7,,,3910.867797852,17%,0.1,6%,2.2,3%,0.3,15%,-3.6,3910.867797852,1%,-1.8,28,4%,3%,-0.8,0%,0.,,,1%,-0.5,4043.647159576,13,0%,92%,-1.5,,,4043.647159576,17%,0.,4%,0.7,3%,0.2,18%,1.6,4043.647159576,3%,0.7,27,19%,4%,0.1,0%,0.,,,1%,-0.3,3700.122816086,13,,93%,,,,3700.122816086,17%,,3%,,3%,,17%,,3700.122816086,2%,,23,,4%,,0%,,,,1%,
Ukraine,Alcohol Stores,SPRAGA,3734.953468323,10,0%,98%,0.6,,,3734.953468323,13%,-0.2,10%,1.1,4%,1.7,13%,8.6,3734.953468323,5%,0.3,21,-23%,3%,-0.8,0%,0.,,,2%,-0.4,3382.082752228,10,0%,98%,-1.,,,3382.082752228,14%,-0.1,9%,-29.7,3%,-6.2,5%,-25.1,3382.082752228,4%,-0.5,27,25%,4%,-0.1,0%,0.,,,2%,1.5,4097.899173737,10,,99%,,,,4097.899173737,14%,,39%,,9%,,30%,,4097.899173737,5%,,22,,4%,,0%,,,,1%,
Ukraine,Alcohol Stores,DIMPYVA,3512.462393761,18,0%,71%,3.8,,,3512.462393761,19%,-0.5,7%,2.6,3%,-0.,8%,-18.5,3512.462393761,4%,-1.2,23,1%,3%,-0.2,0%,0.,,,2%,0.7,4020.096411705,18,0%,67%,1.3,,,4020.096411705,19%,0.,5%,0.4,3%,-0.4,27%,-3.2,4020.096411705,6%,-2.,23,-1%,3%,-0.8,0%,0.,,,1%,-0.3,3297.361594677,18,,66%,,,,3297.361594677,19%,,4%,,3%,,30%,,3297.361594677,8%,,23,,4%,,0%,,,,2%,
Ukraine,Alcohol Stores,CHILL TIME,3069.447193146,15,0%,92%,-2.9,,,3069.447193146,17%,0.7,6%,-1.8,2%,0.,3%,2.5,3069.447193146,5%,1.,23,9%,4%,1.8,0%,0.,,,3%,0.8,3101.468004227,15,0%,95%,5.,,,3101.468004227,17%,-1.1,7%,0.5,2%,0.7,0%,0.,3101.468004227,4%,0.3,21,-8%,2%,-1.2,0%,0.,,,2%,-0.2,3000.448493958,15,,90%,,,,3000.448493958,18%,,7%,,1%,,0%,,3000.448493958,4%,,23,,3%,,0%,,,,3%,
Ukraine,Erotic,NO TABOO,2912.607867241,39,-3%,94%,-2.5,68%,-8.7,2912.607867241,11%,2.,10%,10.4,7%,3.7,56%,-5.,2912.607867241,25%,-2.7,30,-2%,4%,1.8,7%,-0.2,27%,16.2,2%,-3.7,2782.167514801,40,0%,96%,1.1,77%,-9.4,2782.167514801,9%,0.6,0%,-0.8,3%,0.3,61%,4.,2782.167514801,28%,7.,31,-9%,3%,-1.3,8%,1.8,11%,-5.6,5%,2.9,2708.217975616,40,,95%,,86%,,2708.217975616,9%,,1%,,3%,,57%,,2708.217975616,21%,,34,,4%,,6%,,17%,,2%,
Ukraine,Specialty Stores,LEPRUKON,2830.951171875,1,0%,99%,-0.7,,,2830.951171875,16%,-0.3,58%,24.9,26%,8.3,95%,10.1,2830.951171875,2%,-0.7,24,-12%,4%,-1.4,0%,0.,,,1%,-0.3,2822.724609375,1,0%,100%,1.2,,,2822.724609375,16%,0.2,33%,6.8,18%,2.5,85%,-7.7,2822.724609375,2%,1.6,28,-9%,5%,-4.3,0%,0.,,,2%,-1.7,2334.785400391,1,,99%,,,,2334.785400391,16%,,26%,,16%,,93%,,2334.785400391,1%,,31,,10%,,0%,,,,3%,
Ukraine,Alcohol Stores,HALYTSKYI KUKHOL,2809.325500488,3,0%,96%,0.5,,,2809.325500488,16%,0.7,6%,0.7,3%,2.4,11%,10.7,2809.325500488,3%,0.6,25,4%,2%,-1.3,0%,0.,,,2%,1.5,2160.915428162,3,0%,95%,-1.7,,,2160.915428162,15%,0.5,6%,-0.2,1%,-0.4,0%,0.,2160.915428162,2%,-1.7,24,5%,4%,1.7,0%,0.,,,0%,-0.6,1725.654769897,3,,97%,,,,1725.654769897,14%,,6%,,1%,,0%,,1725.654769897,4%,,23,,2%,,0%,,,,1%,
Ukraine,Gas Station Convenience,BRSM,2698.608724594,40,8%,90%,-4.6,89%,-2.3,2698.608724594,16%,-3.6,17%,11.1,11%,6.3,42%,17.,2698.608724594,34%,12.6,92,94%,6%,-1.3,8%,4.5,33%,33.3,2%,1.7,1780.79633522,37,37%,94%,8.3,92%,-4.5,1780.79633522,19%,5.,5%,-33.8,4%,-12.9,25%,25.,1780.79633522,22%,-18.4,48,33%,7%,7.,4%,4.,0%,,0%,-1.8,261.999959469,27,,86%,,96%,,261.999959469,14%,,39%,,17%,,0%,,261.999959469,40%,,36,,0%,,0%,,,,2%,
Ukraine,Alcohol Stores,ALTBIER,2509.27009058,19,-5%,64%,-1.7,,,2509.27009058,15%,-0.6,4%,1.5,1%,0.8,2%,1.2,2509.27009058,3%,0.5,29,21%,3%,-0.8,0%,0.,,,1%,-0.3,2641.377717495,20,5%,66%,-6.,,,2641.377717495,15%,1.,3%,-26.1,0%,-6.2,1%,-21.8,2641.377717495,3%,-1.,24,-2%,4%,0.2,0%,0.,,,1%,0.1,3053.436864853,19,,72%,,,,3053.436864853,14%,,29%,,7%,,23%,,3053.436864853,4%,,25,,3%,,0%,,,,1%,
