,,Report Time (dynamic),2026-06,2026-06,2026-06,2026-06,2026-07,2026-07,2026-07,2026-07,2026-08,2026-08,2026-08,2026-08
Country Name,Store Shopping Mission,Brand Name,Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP",Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP",Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP"
Ukraine,Alcohol Stores,BEER TIME KYIV,7,40.0%,1.57,-1.8%,5,-66.7%,1.6,33.3%,15,,1.2,
Ukraine,Alcohol Stores,DRAFT & CRAFT BEER SHOP,5,0.0%,2.4,20.0%,5,-50.0%,2.,17.6%,10,,1.7,
Ukraine,Alcohol Stores,BEER AND MORE,2,-60.0%,2.5,108.3%,5,-16.7%,1.2,-57.6%,6,,2.83,
Ukraine,Grocery Stores,HALYA BALUVANA,6,0.0%,1.17,0.0%,6,-60.0%,1.17,9.4%,15,,1.07,
Ukraine,Alcohol Stores,BERLIN,14,7.7%,1.07,-30.4%,13,62.5%,1.54,-27.6%,8,,2.13,
Ukraine,Specialty Stores,FERMA BRATA,8,300.0%,1.13,12.5%,2,,1.,,,,,
Ukraine,Flower Shops,FRESH FLOWERS,3,-25.0%,1.,0.0%,4,-33.3%,1.,-14.3%,6,,1.17,
Ukraine,Flower Shops,MILANO FLOWERS,3,-40.0%,1.,-16.7%,5,0.0%,1.2,20.0%,5,,1.,
Ukraine,Alcohol Stores,PYVO BAZA,6,0.0%,1.67,25.0%,6,-50.0%,1.33,33.3%,12,,1.,
Ukraine,Alcohol Stores,BEERSTORE,8,300.0%,1.25,25.0%,2,-88.9%,1.,-28.0%,18,,1.39,
Ukraine,Alcohol Stores,KULTURA PYVA,2,-33.3%,1.5,50.0%,3,,1.,,,,,
Ukraine,Erotic,INTIMATE COMPANY,8,100.0%,1.13,12.5%,4,-60.0%,1.,0.0%,10,,1.,
Ukraine,Alcohol Stores,BEER MEN,4,-42.9%,1.5,31.3%,7,0.0%,1.14,14.3%,7,,1.,
Ukraine,Alcohol Stores,YEPYVO,9,,1.22,,,,,,,,,
Ukraine,Alcohol Stores,DNEPR.YACHT,8,60.0%,1.13,-6.2%,5,-28.6%,1.2,-16.0%,7,,1.43,
Ukraine,Alcohol Stores,VINNIBEER,5,400.0%,1.2,20.0%,1,0.0%,1.,0.0%,1,,1.,
Ukraine,Alcohol Stores,MAHAZYN BEER HAPPY,3,-50.0%,4.,100.0%,6,0.0%,2.,33.3%,6,,1.5,
Ukraine,Flower Shops,LILIUM STUDIO,2,-75.0%,1.5,33.3%,8,60.0%,1.13,12.5%,5,,1.,
Ukraine,Alcohol Stores,PO PYVKU,6,-62.5%,1.17,-35.6%,16,-54.3%,1.81,54.7%,35,,1.17,
Ukraine,Grocery Stores,BRONZE,4,-20.0%,1.25,25.0%,5,66.7%,1.,0.0%,3,,1.,
Ukraine,Alcohol Stores,BEE R,6,,1.,,,,,,,,,
Ukraine,Alcohol Stores,OBEER,2,-33.3%,4.5,35.0%,3,200.0%,3.33,-16.7%,1,,4.,
Ukraine,Tobacco Stores,13GRAM,7,133.3%,1.29,28.6%,3,-81.3%,1.,0.0%,16,,1.,
Ukraine,Flower Shops,UKRAINE FLOWERS,2,-50.0%,1.5,50.0%,4,0.0%,1.,-20.0%,4,,1.25,
Ukraine,Alcohol Stores,PYVNA 2 LITRA,3,-40.0%,1.,-44.4%,5,-54.5%,1.8,10.0%,11,,1.64,
Ukraine,Alcohol Stores,ROCK BEER,6,200.0%,1.5,-25.0%,2,-80.0%,2.,-28.6%,10,,2.8,
Ukraine,Alcohol Stores,MAHAZYNKAFE KEGA,5,,1.,,,,,,1,,1.,
Ukraine,Alcohol Stores,BEER BAR FRIENDS,2,0.0%,1.5,0.0%,2,-33.3%,1.5,50.0%,3,,1.,
Ukraine,Alcohol Stores,JUST BEER,3,-25.0%,1.67,33.3%,4,0.0%,1.25,-28.6%,4,,1.75,
Ukraine,Alcohol Stores,BEER TIME,4,-20.0%,1.5,7.1%,5,-44.4%,1.4,14.5%,9,,1.22,
Ukraine,Alcohol Stores,KHMILNIY BOB,7,0.0%,1.14,0.0%,7,-22.2%,1.14,-58.9%,9,,2.78,
Ukraine,Flower Shops,RV-FLOWER,2,0.0%,1.5,50.0%,2,100.0%,1.,0.0%,1,,1.,
Ukraine,Alcohol Stores,PYVNA ZAPRAVKA,5,66.7%,1.,0.0%,3,-40.0%,1.,0.0%,5,,1.,
Ukraine,Alcohol Stores,YOY_CHE,4,-20.0%,1.,-28.6%,5,-50.0%,1.4,27.3%,10,,1.1,
Ukraine,Alcohol Stores,BEERSTORE365,3,0.0%,1.,0.0%,3,50.0%,1.,-71.4%,2,,3.5,
Ukraine,Alcohol Stores,BEERCO,3,0.0%,1.67,25.0%,3,-72.7%,1.33,-2.2%,11,,1.36,
Ukraine,Alcohol Stores,KHMIL + GRILL,4,,1.,,,,,,,,,
Ukraine,Alcohol Stores,BREWMEN,4,,1.25,,,,,,1,,1.,
Ukraine,Flower Shops,LOVE FLOWERS,3,0.0%,1.,0.0%,3,200.0%,1.,0.0%,1,,1.,
Ukraine,Specialty Stores,SWEET HOUSE,3,0.0%,1.,0.0%,3,-62.5%,1.,0.0%,8,,1.,
Ukraine,Specialty Stores,VAPE BROTHERS,2,,1.,,,,,,,,,
Ukraine,Alcohol Stores,ROCKBEER,2,0.0%,1.5,50.0%,2,0.0%,1.,0.0%,2,,1.,
Ukraine,Alcohol Stores,SOLO VINO,1,-66.7%,2.,-40.0%,3,-40.0%,3.33,108.3%,5,,1.6,
Ukraine,Alcohol Stores,GIGI BAR-BOUTIQUEGIGI BAR-BOUTIQUE,1,-50.0%,1.,0.0%,2,0.0%,1.,-33.3%,2,,1.5,
Ukraine,Alcohol Stores,PYVO BILYA TEBE,3,200.0%,1.67,66.7%,1,0.0%,1.,0.0%,1,,1.,
Ukraine,Alcohol Stores,SHOPOPIVU?,2,0.0%,1.5,50.0%,2,-33.3%,1.,0.0%,3,,1.,
Ukraine,Alcohol Stores,BUKOVYNSKA KHATA,3,200.0%,1.,0.0%,1,,1.,,,,,
Ukraine,Alcohol Stores,1.0.0 RADS BAR,3,200.0%,1.33,33.3%,1,0.0%,1.,0.0%,1,,1.,
Ukraine,Tobacco Stores,DUDKA,3,-40.0%,1.,0.0%,5,,1.,,,,,
Ukraine,Alcohol Stores,KRAN KHARKIV,3,-57.1%,1.,-63.2%,7,250.0%,2.71,171.4%,2,,1.,
Ukraine,Alcohol Stores,BIERWELLE,3,,1.,,,,,,7,,1.29,
